suomi										englanti								termin status

4-vuotistarkastus							4 year check
apuväline									tool
arvio										estimate
elinolosuhteet								living conditions
erityisruokavalio							special diet
esiopetus									preschool
etunimi										first name
fyysinen									physical
havainto									observation
hetu (henkilötunnus)						personal identity code
huollettava									dependant
huoltaja									guardian
huoltajuustieto								guardian information
hyväksymispyyntö							request of acceptance
käsittelyloki								manipulation log
Kasvun ja kehityksen suunnitelma (KKS)		plan for growth and development
kehitystietokokoelma						collection of development information
kielellinen									linguistic
kirjausryhmä								entry group
kirjaustyyppi								entry type
koulu										school
kuljetus									transport
kunnan työntekijä							municipal employee
kuvaus										description
lapsi										child
lapsiryhmä									child group
lokitieto									log entry
lomakepohja									form template
luokitus									classification
mittaukset									measurements
neuvola										child health centre
Perhe- ja yhteisötiedot (PYH)				family and community information
perheenjäsen								family member
perhetiedot									family information
perusopetus									base education
psyykkinen									mental
päivähoito									daycare
ruokavalio									diet
sairaus										illness
sosiaalinen									social
sukunimi									last name
tapahtumaloki								event log
tavoite										target
terveydenhuolto								health care
tila										status
toinen nimi									second name
tukitarpeet									support needs
tukitoimi									support
väestötietojärjestelmä (VTJ)				Population Information System
vanhempi									parent
Varhaiskasvatussuunnitelma (VASU)			early childhood education plan




